PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,principal_variation,sparring_full_pv_probs,sparring_full_model_moves,sparring_wdl,branch_1,branch_2,branch_1_probs,branch_2_probs,full_model_moves,full_pv_probs,corrupted_fen
17R9B,8/2Q3pk/8/3q4/N7/1P1p2P1/P1P1rR2/5K2 w - - 0 42,f2e2 d5f3 f1g1 d3e2,2149,76,86,225,advancedPawn crushing endgame short,https://lichess.org/XttoMeNO#82,,"['d5f3', 'f1g1', 'd3e2']","[0.201674684882164, 0.08503763377666473, 0.732255756855011]","['d3e2', 'e2f2', 'd3e2']","[0.004065349698066711, 0.9750174880027771, 0.02091716043651104]","['d5f3', 'f1g1', 'd3e2']","['d5h1', 'f1f2', 'h1h2']","[0.4966791570186615, 0.9897634983062744, 0.9273460507392883]","[0.35479649901390076, 1.0, 0.7973101735115051]","['d5f3', 'f1g1', 'd3e2']","[0.4966791570186615, 0.9897634983062744, 0.9273460507392883]",8/2Q3pk/8/3q4/N7/1P4P1/P1P1R3/5K2 b - - 0 42
19nMg,8/5p2/2R1P3/1p4kp/6P1/1r6/5K2/8 b - - 0 48,h5g4 e6e7 g4g3 f2e2,1978,80,83,99,advancedPawn crushing defensiveMove endgame rookEndgame short,https://lichess.org/MVyhCZ8P/black#95,,"['e6e7', 'g4g3', 'f2e2']","[0.17288878560066223, 0.20017500221729279, 0.24973393976688385]","['e6f7', 'b3b2', 'f2g2']","[0.002018092665821314, 0.9927874207496643, 0.005194518715143204]","['e6e7', 'g4g3', 'f2e2']","['c6c5', 'g5f6', 'e6f7']","[0.3690735101699829, 0.7122648358345032, 0.9549674391746521]","[0.30868202447891235, 0.870509922504425, 0.7125499844551086]","['e6e7', 'g4g3', 'f2e2']","[0.3690735101699829, 0.7122648358345032, 0.9549674391746521]",8/5p2/2R1P3/1p4k1/6p1/1r1p4/5K2/8 w - - 0 49
1EJqL,rn2k2r/pp2bppp/2p2q2/3p4/6b1/1B1P1N2/PPP1Q1PP/RNB2K1R w kq - 5 11,c1g5 f6g5 f3g5 g4e2,2133,82,91,1455,advantage opening short,https://lichess.org/mLZSCsMx#20,Russian_Game Russian_Game_Italian_Variation,"['f6g5', 'f3g5', 'g4e2']","[0.7709869742393494, 0.780764639377594, 0.848493218421936]","['f6g5', 'f3g5', 'g4e2']","[0.019026082009077072, 0.9172574877738953, 0.06371637433767319]","['f6g5', 'f3g5', 'g4e2']","['g4f3', 'e2e7', 'f6e7']","[0.5561668872833252, 0.7818217873573303, 0.9351630210876465]","[0.38452327251434326, 0.904456615447998, 0.7113732099533081]","['f6g5', 'f3g5', 'g4e2']","[0.5561668872833252, 0.7818217873573303, 0.9351630210876465]",rn2k2r/pp2bppp/2p2q2/3p2B1/Q5b1/1B1P1N2/PPP3PP/RN3K1R b kq - 6 11
1GmSl,r2qkbnr/ppp2ppp/2np4/6B1/2B1P3/2N2Q1P/PP3PP1/R3K2R b KQkq - 0 9,c6e5 c4f7 e5f7 g5d8,1547,75,92,670,attackingF2F7 crushing middlegame short,https://lichess.org/TrmzzInW/black#17,Danish_Gambit Danish_Gambit_Other_variations,"['c4f7', 'e5f7', 'g5d8']","[0.4291815757751465, 0.5386362671852112, 0.9846838116645813]","['c4f7', 'e5f7', 'g5d8']","[0.27974870800971985, 0.5421024560928345, 0.1781488060951233]","['c4f7', 'e5f7', 'g5d8']","['f3g3', 'f7f6', 'c4g8']","[0.5181899666786194, 0.8481454253196716, 0.9146689176559448]","[0.31813573837280273, 0.7056318521499634, 0.8727567791938782]","['c4f7', 'e5f7', 'g5d8']","[0.5181899666786194, 0.8481454253196716, 0.9146689176559448]",r2qkbnr/ppp2ppp/3p4/4n3/2B1P3/1BN2Q1P/PP3PP1/R3K2R w KQkq - 1 10
1ITwL,6k1/2B2rpp/p4b2/2pB2n1/1p3R1P/8/P1P3P1/3n3K b - - 0 29,d1e3 d5f7 g5f7 f4e4,1801,109,-20,14,advantage middlegame short,https://lichess.org/uqulUZE7/black#57,,"['d5f7', 'g5f7', 'f4e4']","[0.08618535846471786, 0.6281176805496216, 0.09601861983537674]","['h4g5', 'g5f7', 'c7b6']","[0.003178817220032215, 0.9899215698242188, 0.006899646017700434]","['d5b3', 'c5c4', 'f4c4']","['d5f7', 'g5f7', 'f4e4']","[0.5415582656860352, 0.7586246132850647, 0.7030356526374817]","[0.3607940077781677, 0.8949165940284729, 0.9314396381378174]","['d5b3', 'c5c4', 'f4c4']","[0.3607940077781677, 0.8949165940284729, 0.9314396381378174]",6k1/2Bn1rpp/p4b2/2pB4/1p3R1P/4n3/P1P3P1/7K w - - 1 30
1MXpu,r2r2k1/ppq2pbp/2p2np1/8/P3pN2/1P2P3/1BPR1PPP/1R1Q2K1 b - - 1 18,f6g4 d2d8 a8d8 d1g4,1581,74,93,1828,advantage middlegame short,https://lichess.org/Pc6X5wuo/black#35,Englund_Gambit_Complex Englund_Gambit_Complex_Englund_Gambit,"['d2d8', 'a8d8', 'd1g4']","[0.07867524772882462, 0.7723313570022583, 0.6860274076461792]","['b2g7', 'a8d8', 'd1g4']","[0.00949460081756115, 0.9793339371681213, 0.011171434074640274]","['d2d8', 'a8d8', 'd1g4']","['b2g7', 'd8d2', 'd1d2']","[0.4595901668071747, 0.903711199760437, 0.9081928730010986]","[0.4106284976005554, 0.8245298266410828, 0.8873833417892456]","['d2d8', 'a8d8', 'd1g4']","[0.4595901668071747, 0.903711199760437, 0.9081928730010986]",r2r2k1/ppq2pbp/2p3p1/8/P3p1n1/1P2PN2/1BPR1PPP/1R1Q2K1 w - - 2 19
1NXq4,r4rk1/pppq1ppp/8/2b4b/2Pn1B2/3B3P/PP1QN1P1/R3R2K b - - 2 18,d4e2 d3h7 g8h7 d2d7,1552,75,30,201,advantage discoveredAttack kingsideAttack middlegame short,https://lichess.org/zovhYlxY/black#35,Center_Game Center_Game_Normal_Variation,"['d3h7', 'g8h7', 'd2d7']","[0.036009397357702255, 0.8921208381652832, 0.4878571331501007]","['e1e2', 'g8h7', 'd2d7']","[0.009447564370930195, 0.9349589943885803, 0.05559343099594116]","['d3e2', 'd7d2', 'f4d2']","['d3h7', 'g8h7', 'd2d7']","[0.3375260531902313, 0.910866916179657, 0.9181291460990906]","[0.31558558344841003, 0.9003853797912598, 0.9199860692024231]","['d3e2', 'd7d2', 'f4d2']","[0.31558558344841003, 0.9003853797912598, 0.9199860692024231]",r4rk1/pppq1ppp/8/2b5/2P2Bb1/3B3P/PP1Qn1P1/R3R2K w - - 0 19
1RsNk,3r4/pb2r1bk/1pq3Np/2p2QpP/P7/2P2P2/1P1B2P1/3R2K1 b - - 0 28,c6d7 g6f8 h7g8 f8d7,1671,78,95,15267,advantage doubleCheck fork middlegame short,https://lichess.org/Z9u6f2Ip/black#55,,"['g6f8', 'h7g8', 'f8d7']","[0.11804873496294022, 0.8415157198905945, 0.7976247668266296]","['f5c2', 'h7g8', 'f8d7']","[0.013387101702392101, 0.9326459169387817, 0.0539669506251812]","['g6e7', 'd7f5', 'e7f5']","['g6f8', 'h7g8', 'f8d7']","[0.6053014993667603, 0.9135579466819763, 0.9430578351020813]","[0.33291903138160706, 0.909858226776123, 0.9158163070678711]","['g6e7', 'd7f5', 'e7f5']","[0.33291903138160706, 0.909858226776123, 0.9158163070678711]",3r4/pb1qr1bk/1p2p1Np/2p2QpP/P7/2P2P2/1P1B2P1/3R2K1 w - - 1 29
1VY6P,r4r1k/1b4pp/pp6/2p1qn2/P2p4/2PBPRP1/1P4P1/R2Q1NK1 w - - 0 23,e3d4 b7f3 d4e5 f3d1,1718,76,93,4802,advantage master middlegame short,https://lichess.org/xMQW3kAS#44,,"['b7f3', 'd4e5', 'f3d1']","[0.43464723229408264, 0.4731796979904175, 0.8806421756744385]","['b7f3', 'd4e5', 'f3d1']","[0.0026292097754776478, 0.9916371703147888, 0.005733550526201725]","['c5d4', 'f3f5', 'f8f5']","['b7f3', 'd4e5', 'f3d1']","[0.435553640127182, 0.842891275882721, 0.9082649350166321]","[0.35969048738479614, 0.8727011680603027, 0.9260305762290955]","['c5d4', 'f3f5', 'f8f5']","[0.35969048738479614, 0.8727011680603027, 0.9260305762290955]",r6k/1b4pp/pp5r/2p1qn2/P2P4/2PB1RP1/1P4P1/R2Q1NK1 b - - 0 23
1b82B,r2q1rk1/ppp2ppp/8/8/2Q1p3/PPn5/2P2PPP/R1B2RK1 b - - 1 15,d8f6 c1d2 c3d5 c4d5,2113,76,91,898,crushing master middlegame short,https://lichess.org/UjJb4uUM/black#29,Elephant_Gambit Elephant_Gambit_Paulsen_Countergambit,"['c1d2', 'c3d5', 'c4d5']","[0.3307289779186249, 0.13462865352630615, 0.21083606779575348]","['c1b2', 'b7b5', 'a1e1']","[0.006455948110669851, 0.9856442213058472, 0.007899826392531395]","['c1d2', 'c3d5', 'c4d5']","['c1b2', 'c3e2', 'c4e2']","[0.5272796154022217, 0.8857033252716064, 0.9130833148956299]","[0.36862993240356445, 0.9126764535903931, 0.962482213973999]","['c1d2', 'c3d5', 'c4d5']","[0.5272796154022217, 0.8857033252716064, 0.9130833148956299]",r5k1/ppp2ppp/5qr1/8/2Q1p3/PPn5/2P2PPP/R1B2RK1 w - - 2 16
1bnKr,r1b1k1nr/pppp1ppp/8/8/2Bnq3/2B5/PP2NPPP/R2QK2R b KQkq - 1 10,e4g2 d1d4 g2h1 e1d2,2308,83,87,101,advantage opening sacrifice short,https://lichess.org/WalejiE3/black#19,Danish_Gambit Danish_Gambit_Other_variations,"['d1d4', 'g2h1', 'e1d2']","[0.261945515871048, 0.7763754725456238, 0.9201313257217407]","['h1g1', 'g2h1', 'e1d2']","[0.03726258501410484, 0.9404597878456116, 0.022277554497122765]","['d1d4', 'g2h1', 'e1d2']","['e2g3', 'd4f3', 'e1e2']","[0.5401535034179688, 0.8611034750938416, 0.9930945634841919]","[0.3717972934246063, 0.7032374739646912, 0.9904146194458008]","['d1d4', 'g2h1', 'e1d2']","[0.5401535034179688, 0.8611034750938416, 0.9930945634841919]",r1b1k2r/pppp1ppp/8/6n1/2Bn4/2B5/PP2NPqP/R2QK2R w KQkq - 0 11
1rJqi,2rr2k1/p7/4ppQp/3q4/1b1p1P1P/6P1/1P6/3RR1K1 b - - 1 31,g8h8 g6h6 h8g8 h6g6,2104,75,91,694,crushing middlegame short,https://lichess.org/6elHDNkp/black#61,,"['g6h6', 'h8g8', 'h6g6']","[0.3905724883079529, 1.0, 0.7139402031898499]","['g6h6', 'h8g8', 'h6g6']","[0.0012117393780499697, 0.9952774047851562, 0.0035108814481645823]","['g6h6', 'h8g8', 'h6g6']","['g6f6', 'h8h7', 'f6f7']","[0.5278119444847107, 1.0, 0.9395197033882141]","[0.40200820565223694, 0.7269281148910522, 0.7945757508277893]","['g6h6', 'h8g8', 'h6g6']","[0.5278119444847107, 1.0, 0.9395197033882141]",3r3k/p7/4ppQp/3q4/1b1p1PrP/6P1/1P6/3RR1K1 w - - 2 32
1zJDp,2k2r1r/2p5/5pp1/2pppn2/Q7/4PqB1/PP3P1P/1K1R2R1 b - - 1 27,f5g3 a4a8 c8d7 d1d5,1962,76,95,12191,advantage middlegame queensideAttack short,https://lichess.org/GA8Jc3Qv/black#53,,"['a4a8', 'c8d7', 'd1d5']","[0.10777401924133301, 1.0, 0.04258124157786369]","['g1g3', 'c8d7', 'a8a4']","[0.012248664163053036, 0.9820663928985596, 0.0056848968379199505]","['g1g3', 'f3e4', 'a4e4']","['a4a8', 'c8d7', 'd1d5']","[0.3392634689807892, 0.9276943802833557, 0.9773395657539368]","[0.30147477984428406, 1.0, 0.7932175397872925]","['g1g3', 'f3e4', 'a4e4']","[0.30147477984428406, 1.0, 0.7932175397872925]",2k2r1r/2p5/5pp1/2ppp3/Q7/4Pqn1/PPR2P1P/1K4R1 w - - 0 28
26Er4,r2q1rk1/pppbbppp/2n5/8/2BP4/1QP2N1P/P2B1PP1/R4RK1 w - - 5 15,b3b7 a8b8 b7a6 b8b6,1972,74,82,119,advantage middlegame short,https://lichess.org/a1zfybej#28,French_Defense French_Defense_Exchange_Variation,"['a8b8', 'b7a6', 'b8b6']","[0.17035800218582153, 0.9408586025238037, 0.24497513473033905]","['c6a5', 'b7a6', 'e7d6']","[0.026165295392274857, 0.8454325795173645, 0.12840214371681213]","['c6a5', 'b7a6', 'a5c4']","['a8b8', 'b7a6', 'b8b6']","[0.4845424294471741, 0.8330860733985901, 0.9007715582847595]","[0.45694032311439514, 0.8339824080467224, 0.9180530905723572]","['c6a5', 'b7a6', 'a5c4']","[0.45694032311439514, 0.8339824080467224, 0.9180530905723572]",r2q1rk1/pQpbbppp/2n5/5N2/2BP4/2P4P/P2B1PP1/R4RK1 b - - 0 15
26m0r,1k1r1b1r/ppp2ppp/8/3q4/3Np1n1/2P1B3/PP3PPP/3RQRK1 b - - 4 15,d5h5 d4c6 b7c6 d1d8,1128,76,91,1438,crushing discoveredAttack middlegame queensideAttack short,https://lichess.org/W4K79tU6/black#29,Kings_Knight_Opening Kings_Knight_Opening_Normal_Variation,"['d4c6', 'b7c6', 'd1d8']","[0.013182401657104492, 0.8224489092826843, 0.4162638485431671]","['e3f4', 'b7c6', 'd1d8']","[0.029484370723366737, 0.8143251538276672, 0.1561904400587082]","['d4c6', 'b7c6', 'd1d8']","['h2h3', 'f8d6', 'e1e2']","[0.4328438937664032, 0.9536585807800293, 0.911855936050415]","[0.4229724407196045, 0.7428911328315735, 0.7568399906158447]","['d4c6', 'b7c6', 'd1d8']","[0.4328438937664032, 0.9536585807800293, 0.911855936050415]",1k1rb2r/ppp2ppp/8/7q/3Np1n1/2P1B3/PP3PPP/3RQRK1 w - - 5 16
2GS8v,5r2/pp6/8/3p1B2/5PRk/1P6/r6P/7K b - - 4 37,h4h3 g4g3 h3h4 g3h3,2141,78,91,266,doubleCheck endgame mate mateIn2 short,https://lichess.org/SekJQiyY/black#73,,"['g4g3', 'h3h4', 'g3h3']","[0.40070268511772156, 1.0, 0.36927586793899536]","['g4g3', 'h3h4', 'g3g4']","[0.004328309092670679, 0.9925251007080078, 0.003146618837490678]","['g4g2', 'f8f5', 'g2a2']","['g4g3', 'h3h4', 'g3h3']","[0.408149391412735, 0.9792913794517517, 0.9573294520378113]","[0.3645540177822113, 1.0, 0.9272587895393372]","['g4g2', 'f8f5', 'g2a2']","[0.3645540177822113, 1.0, 0.9272587895393372]",5r2/pp6/8/3p4/B4PR1/1P5k/r6P/7K w - - 5 38
2JetC,r5k1/5p1p/6p1/1B3q2/P2R1n1P/2B2P2/KP3P2/4R3 b - - 0 33,f5b5 d4d8 a8d8 a4b5,1915,75,78,75,advantage endgame short,https://lichess.org/aDeJsYC1/black#65,,"['d4d8', 'a8d8', 'a4b5']","[0.003927054349333048, 0.9542078375816345, 0.8660981059074402]","['d4f4', 'a8d8', 'a4b5']","[0.004065464250743389, 0.9922393560409546, 0.0036951007787138224]","['d4d8', 'a8d8', 'a4b5']","['d4f4', 'a8a4', 'f4a4']","[0.5213490724563599, 0.9653069376945496, 0.9355279803276062]","[0.37743544578552246, 0.9058992266654968, 0.9847314357757568]","['d4d8', 'a8d8', 'a4b5']","[0.5213490724563599, 0.9653069376945496, 0.9355279803276062]",r5k1/5p1p/2p3p1/1q6/P2R1n1P/2B2P2/KP3P2/4R3 w - - 0 34
2RGCG,2br2k1/5ppp/p2b2q1/1p1B1n2/4Q3/BP4N1/P1r2PPP/4RRK1 b - - 15 25,f5g3 e4e8 d6f8 e8d8,1961,75,95,2064,crushing middlegame pin short,https://lichess.org/DC8BrvZJ/black#49,,"['e4e8', 'd6f8', 'e8d8']","[0.05614698678255081, 0.20696088671684265, 0.438803106546402]","['e4h4', 'd8e8', 'e8d8']","[0.002959814388304949, 0.9877101182937622, 0.00933007150888443]","['e4e8', 'd6f8', 'e8d8']","['f2g3', 'g6e4', 'd5e4']","[0.421903133392334, 0.7953401207923889, 0.8850233554840088]","[0.33292070031166077, 0.7122260332107544, 0.8220060467720032]","['e4e8', 'd6f8', 'e8d8']","[0.421903133392334, 0.7953401207923889, 0.8850233554840088]",2br2k1/5ppp/p2b2q1/1p4B1/4Q3/BP4n1/P1r2PPP/4RRK1 w - - 0 26
2YYhU,r4r1k/3p1pp1/p1n1pN1p/4P3/1p1q1P1Q/7R/2P3PP/5R1K b - - 3 24,c6e5 h4g5 e5g4 f6g4,2532,78,94,733,crushing middlegame pin short,https://lichess.org/YpXKWnZP/black#47,,"['h4g5', 'e5g4', 'f6g4']","[0.04285339638590813, 0.03420761600136757, 0.4782446324825287]","['c2c3', 'e5g6', 'f6g4']","[0.004082795698195696, 0.9904990792274475, 0.005418120883405209]","['h4g5', 'e5g4', 'f6g4']","['f4e5', 'd4h4', 'h3h4']","[0.5257988572120667, 0.9023754000663757, 0.8931123614311218]","[0.3470340371131897, 0.9204574227333069, 0.9304717183113098]","['h4g5', 'e5g4', 'f6g4']","[0.5257988572120667, 0.9023754000663757, 0.8931123614311218]",r4r1k/1R1p1pp1/p3pN1p/4n3/1p1q1P1Q/7R/2P3PP/7K w - - 0 25
2ci7x,3r3k/R6p/1n3pnB/1p1rpN2/1P6/8/6PP/5RK1 b - - 3 36,d5d1 h6g7 h8g8 f5h6,1296,299,-100,3,mate mateIn2 middlegame short,https://lichess.org/PbESyNDq/black#71,,"['h6g7', 'h8g8', 'f5h6']","[0.20403704047203064, 1.0, 0.21599237620830536]","['h2h4', 'h8g8', 'g7f6']","[0.21596474945545197, 0.7502508759498596, 0.033784423023462296]","['a7b7', 'd1f1', 'g1f1']","['h6g7', 'h8g8', 'f5h6']","[0.32100027799606323, 0.8018189072608948, 1.0]","[0.30571243166923523, 1.0, 0.8472267985343933]","['a7b7', 'd1f1', 'g1f1']","[0.30571243166923523, 1.0, 0.8472267985343933]",3r3k/R3N2p/1n3pnB/1p2p3/1P6/8/6PP/3r1RK1 w - - 4 37
2dtzs,4q1k1/R4p1p/R1r1pnp1/1r1p4/1b1P2PP/8/1B2QP2/7K w - - 0 29,e2b5 c6c1 b2c1 e8b5,944,90,93,449,crushing discoveredAttack middlegame short,https://lichess.org/Hj9yB6Do#56,,"['c6c1', 'b2c1', 'e8b5']","[0.033876433968544006, 0.34324195981025696, 0.714399516582489]","['c6a6', 'h1g2', 'e8b5']","[0.003911664243787527, 0.9860697984695435, 0.010018588043749332]","['c6a6', 'b5a6', 'g8g7']","['c6c1', 'b2c1', 'e8b5']","[0.46902674436569214, 0.7133023738861084, 0.7159600257873535]","[0.4260234832763672, 0.8646944165229797, 0.941575288772583]","['c6a6', 'b5a6', 'g8g7']","[0.4260234832763672, 0.8646944165229797, 0.941575288772583]",4q3/R4p1p/R1r1pnp1/1Q1p4/1b1P2PP/8/1B1k1P2/7K b - - 0 29
