PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,principal_variation,full_pv_probs,full_model_moves,full_wdl,sparring_full_pv_probs,sparring_full_model_moves,sparring_wdl,different_targets,corrupted_fen
01OFy,r4rk1/pppbq1pp/1b3p2/3Bp2R/3P4/2P3P1/PP3P1P/R1BQ2K1 b - - 0 16,g8h8 h5h7 h8h7 d1h5,1609,238,33,4,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/JpoGe8OK/black#31,French_Defense French_Defense_Kings_Indian_Attack,"['h5h7', 'h8h7', 'd1h5']","[0.7043002247810364, 1.0, 0.8485080003738403]","['h5h7', 'h8h7', 'd1h5']","[0.7895401120185852, 0.17010141909122467, 0.04035854712128639]","[0.007807017304003239, 1.0, 0.7415827512741089]","['a2a4', 'h8h7', 'd1h5']","[0.01238623633980751, 0.9730023145675659, 0.014611411839723587]",False,r4r1k/pppbqppp/1b3p2/3Bp2R/3P4/2P3P1/PP3P1P/R1BQ2K1 w - - 1 17
01do1,5rk1/n2P3p/1p2p1pQ/pP3p2/q3p1N1/8/5PPP/5RK1 b - - 0 34,f5g4 h6f8 g8f8 d7d8q,1048,80,91,1350,advancedPawn attraction crushing endgame promotion short,https://lichess.org/UowkfW4v/black#67,,"['h6f8', 'g8f8', 'd7d8q']","[0.9319239258766174, 1.0, 0.9599365592002869]","['h6f8', 'g8f8', 'd7d8q']","[0.7938298583030701, 0.1952570527791977, 0.010913119651377201]","[0.013411390595138073, 1.0, 0.8160040974617004]","['h6h4', 'g8f8', 'd7d8q']","[0.001721224864013493, 0.9949893355369568, 0.0032894243486225605]",False,6k1/n2P3p/1p1rp1pQ/pP6/q3p1p1/8/5PPP/5RK1 w - - 0 35
01gBD,2r4k/pb4pp/1p6/3pP3/3Pn3/2PBq1NQ/PP5P/5R1K b - - 4 23,e3d3 h3c8 b7c8 f1f8,1388,77,84,248,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/Oojuy157/black#45,,"['h3c8', 'b7c8', 'f1f8']","[0.8580433130264282, 1.0, 0.8810003399848938]","['h3c8', 'b7c8', 'f1f8']","[0.8200973868370056, 0.09419917315244675, 0.08570347726345062]","[0.005730774253606796, 1.0, 0.5158926844596863]","['f1f7', 'b7c8', 'f1f8']","[0.0014224544866010547, 0.9953790903091431, 0.003198405262082815]",False,2r5/pb4pp/1p6/k2pP3/3Pn3/2Pq2NQ/PP5P/5R1K w - - 0 24
01m5k,4r1k1/pp2rp1p/5Rp1/1q6/8/1P4Q1/P4PPP/5RK1 w - - 1 22,a2a4 b5f1 g1f1 e7e1,1177,78,93,2490,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/JiGbkYf4#42,,"['b5f1', 'g1f1', 'e7e1']","[0.8271505832672119, 1.0, 0.9284204840660095]","['b5f1', 'g1f1', 'e7e1']","[0.9673969745635986, 0.031197136268019676, 0.0014058457454666495]","[0.0006089064991101623, 1.0, 0.71941739320755]","['b5b4', 'g1f1', 'e7e1']","[0.12865670025348663, 0.8390565514564514, 0.032286714762449265]",False,4rrk1/pp3p1p/5Rp1/1q6/P7/1P4Q1/5PPP/5RK1 b - - 0 22
01y4w,r1b2rk1/ppp2ppp/3p4/4q3/P7/3BP2P/1PPQ1PP1/1R2K2R b K - 1 14,e5d5 d3h7 g8h7 d2d5,999,77,87,198,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/auzq1IR4/black#27,Van_Geet_Opening Van_Geet_Opening_Reversed_Nimzowitsch,"['d3h7', 'g8h7', 'd2d5']","[0.9158235192298889, 0.6567236185073853, 0.9385187029838562]","['d3h7', 'g8h7', 'd2d5']","[0.9696420431137085, 0.02491830848157406, 0.005439650267362595]","[0.00473271869122982, 0.8452087640762329, 0.8398932218551636]","['e1g1', 'g8h7', 'd2d5']","[0.043428998440504074, 0.9201520085334778, 0.03641899675130844]",False,r1bk1r2/ppp2ppp/3p4/3q4/P7/3BP2P/1PPQ1PP1/1R2K2R w K - 2 15
01ySE,2k5/6K1/2q2pQ1/p7/8/6P1/7P/8 w - - 0 66,g6f6 c6f6 g7f6 a5a4,1170,107,71,27,crushing defensiveMove endgame queenEndgame short,https://lichess.org/xLCcgJbV#130,,"['c6f6', 'g7f6', 'a5a4']","[0.8030184507369995, 0.7657746076583862, 0.9873642325401306]","['c6f6', 'g7f6', 'a5a4']","[0.782711386680603, 0.21355772018432617, 0.003730986500158906]","[0.027298232540488243, 0.782701849937439, 0.37679222226142883]","['c6d7', 'g7f6', 'a5a4']","[0.006741696503013372, 0.9829071164131165, 0.010351172648370266]",False,2k5/6K1/2q2QP1/p7/8/6P1/7P/8 b - - 0 66
024qN,3r2k1/1p1r1pp1/1n2p2p/2p2q2/1PPP2R1/7P/4NPP1/2QR2K1 w - - 0 28,c1h6 f5g4 h3g4 g7h6,1418,75,96,1516,advantage middlegame short,https://lichess.org/QxwlVOwl#54,,"['f5g4', 'h3g4', 'g7h6']","[0.9020184278488159, 0.582908570766449, 0.9422603249549866]","['f5g4', 'h3g4', 'g7h6']","[0.7760053277015686, 0.17009615898132324, 0.05389853194355965]","[0.04419224336743355, 0.796961784362793, 0.8660939335823059]","['g7g6', 'h3g4', 'g7h6']","[0.00703305983915925, 0.9483690857887268, 0.04459786042571068]",False,3r2k1/1p1r1pp1/1n2p2Q/2p2q2/1PPP2R1/6RP/4NPP1/6K1 b - - 0 28
02M26,4R1k1/pp4pp/2p2r2/3p1b1P/5p2/2PB1P2/PP1K4/8 b - - 1 32,f6f8 e8f8 g8f8 d3f5,1204,75,97,1508,crushing endgame short,https://lichess.org/GCs9OCYM/black#63,,"['e8f8', 'g8f8', 'd3f5']","[0.9238810539245605, 1.0, 0.9540128111839294]","['e8f8', 'g8f8', 'd3f5']","[0.9308494925498962, 0.055966831743717194, 0.013183600269258022]","[0.005840438883751631, 1.0, 0.867599606513977]","['e8e7', 'g8f8', 'd3f5']","[0.034991923719644547, 0.7670530080795288, 0.19795508682727814]",False,4Rrk1/pp4pp/2p5/3p1b1P/5p2/2P2P2/PP1K4/7B w - - 2 33
02YNo,r3r1k1/pp1b1pp1/1q2p2p/3p4/8/P1P3P1/1PB1QPP1/R3R1K1 b - - 0 22,b6b2 c2h7 g8h7 e2b2,1157,124,67,40,advantage discoveredAttack middlegame short,https://lichess.org/WVKu2WlR/black#43,,"['c2h7', 'g8h7', 'e2b2']","[0.9135524034500122, 0.7383407354354858, 0.9353822469711304]","['c2h7', 'g8h7', 'e2b2']","[0.9572619199752808, 0.03696716949343681, 0.005770828574895859]","[0.003985324874520302, 0.7996636629104614, 0.7466253042221069]","['e2d3', 'g8h7', 'e2b2']","[0.005914675537496805, 0.9804899096488953, 0.013595453463494778]",False,r5k1/pp1b1pp1/1r2p2p/3p4/8/P1P3P1/1qB1QPP1/R3R1K1 w - - 0 23
02j28,8/3nk1r1/7q/p1pPpQ1P/PpP3P1/1P3R2/5P2/6K1 b - - 0 43,h6f6 f5d7 e7d7 f3f6,1658,75,92,3064,crushing discoveredAttack endgame short,https://lichess.org/rcSTVh6s/black#85,,"['f5d7', 'e7d7', 'f3f6']","[0.661375105381012, 0.9402832388877869, 0.9657368063926697]","['f5d7', 'e7d7', 'f3f6']","[0.6449331641197205, 0.3193162977695465, 0.03575051575899124]","[0.00441362988203764, 0.9760007262229919, 0.8254454135894775]","['g1f1', 'e7d7', 'f3f6']","[0.021578552201390266, 0.9558650851249695, 0.02255636639893055]",False,8/3n2r1/5q2/p1pPpQ1P/PpP3P1/1P3R2/1k3P2/6K1 w - - 1 44
02sUm,4r1k1/2p2pp1/1p5p/3P4/3Q4/3B2P1/3q1PKP/8 b - - 7 34,e8d8 d3h7 g8h7 d4d2,1054,89,94,112,crushing discoveredAttack endgame short,https://lichess.org/S4ttsEzt/black#67,,"['d3h7', 'g8h7', 'd4d2']","[0.8953959941864014, 0.691952645778656, 0.9405083060264587]","['d3h7', 'g8h7', 'd4d2']","[0.8750506043434143, 0.09019585698843002, 0.03475353121757507]","[0.015406477265059948, 0.7428341507911682, 0.8543148636817932]","['d4e4', 'g8h7', 'd4d2']","[0.004982978105545044, 0.9700514078140259, 0.024965638294816017]",False,3r1qk1/2p2pp1/1p5p/3P4/3Q4/3B2P1/5PKP/8 w - - 8 35
037lM,r4r1k/5p1p/2p2b1N/P7/4P3/2n5/6RP/6RK b - - 0 33,c3e4 g2g8 f8g8 h6f7,1623,76,93,2003,deflection mate mateIn2 middlegame sacrifice short,https://lichess.org/5uxyHi6R/black#65,,"['g2g8', 'f8g8', 'h6f7']","[0.8710485696792603, 1.0, 0.8635732531547546]","['g2g8', 'f8g8', 'h6f7']","[0.3130485415458679, 0.3594968616962433, 0.3274546265602112]","[0.03361581265926361, 1.0, 0.31090858578681946]","['a5a6', 'f8g8', 'h6f7']","[0.005170137621462345, 0.9720235466957092, 0.022806359454989433]",False,r4r2/5p1p/2p2b1N/P7/4n3/k7/6RP/6RK w - - 0 34
03R4H,3r2k1/5ppp/1Q1B1b2/1p6/2p5/8/1Pq2PPP/4R1K1 b - - 1 22,c2d2 b6d8 f6d8 e1e8,1018,87,85,616,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/XTdibgnH/black#43,,"['b6d8', 'f6d8', 'e1e8']","[0.7427622675895691, 1.0, 0.904492974281311]","['b6d8', 'f6d8', 'e1e8']","[0.5058438777923584, 0.16543088853359222, 0.3287252187728882]","[0.016456574201583862, 1.0, 0.4664537012577057]","['g1f1', 'f6d8', 'e1e8']","[0.0043223025277256966, 0.9834189414978027, 0.012258733622729778]",False,3r1bk1/5ppp/1Q1B4/1p6/2p5/8/1P1q1PPP/4R1K1 w - - 2 23
03UTN,r1r3k1/p3pp1p/2q3p1/3RNn2/5P2/5Q2/5P1P/4R1K1 b - - 12 32,c6b7 d5d8 c8d8 f3b7,1042,76,96,2278,advantage discoveredAttack master middlegame short,https://lichess.org/9b3ASzGE/black#63,,"['d5d8', 'c8d8', 'f3b7']","[0.819919764995575, 0.7703897356987, 0.9219031929969788]","['d5d8', 'c8d8', 'f3b7']","[0.5821049213409424, 0.3272626996040344, 0.09063240140676498]","[0.03677777945995331, 0.7957661747932434, 0.6967992782592773]","['d5d7', 'c8d8', 'f3b7']","[0.022157661616802216, 0.7943697571754456, 0.18347260355949402]",False,2r3k1/pq2pp1p/1r4p1/3RNn2/5P2/5Q2/5P1P/4R1K1 w - - 13 33
03Vlf,1kr5/1p1q1pp1/p2bb2p/8/3N4/3QP3/PP1B1PPP/3R2K1 w - - 0 24,d4e6 d6h2 g1h2 d7d3,1325,78,92,1288,advantage discoveredAttack kingsideAttack middlegame short,https://lichess.org/V39aF5sj#46,,"['d6h2', 'g1h2', 'd7d3']","[0.7970602512359619, 0.7734034657478333, 0.9201232194900513]","['d6h2', 'g1h2', 'd7d3']","[0.5418713092803955, 0.220195934176445, 0.23793277144432068]","[0.016287269070744514, 0.8458563685417175, 0.756043016910553]","['d7e6', 'g1h2', 'd7d3']","[0.003852661233395338, 0.9752203822135925, 0.020926926285028458]",False,1kr5/1p1q1pp1/p2bN2p/8/3Q4/4P3/PP1B1PPP/3R2K1 b - - 0 24
03cXe,r1b2rk1/p4ppp/1p2p3/3p4/7P/3B1Q2/q4PP1/2R1R1K1 b - - 1 19,a2a3 d3h7 g8h7 f3a3,1188,76,82,194,crushing discoveredAttack middlegame short,https://lichess.org/V5JMan7o/black#37,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,"['d3h7', 'g8h7', 'f3a3']","[0.8940900564193726, 0.7191908359527588, 0.9180606007575989]","['d3h7', 'g8h7', 'f3a3']","[0.9858908653259277, 0.01333820540457964, 0.0007709514466114342]","[0.04473390802741051, 0.839745044708252, 0.5795091986656189]","['c1a1', 'g8h7', 'f3a3']","[0.008242023177444935, 0.9526265263557434, 0.039131466299295425]",False,r1b2rk1/p4ppp/1p2p3/3p4/1p5P/q2B1Q2/5PP1/2R1R1K1 w - - 2 20
03cY6,r4r1k/p1p3pp/2qbQn2/8/8/1PN4P/PBP2PP1/R4RK1 w - - 1 20,c3e2 d6h2 g1h2 c6e6,1658,88,60,33,advantage discoveredAttack middlegame short,https://lichess.org/PcEhzrjg#38,,"['d6h2', 'g1h2', 'c6e6']","[0.8608936667442322, 0.7802749276161194, 0.9232093691825867]","['d6h2', 'g1h2', 'c6e6']","[0.9133524298667908, 0.06182016804814339, 0.02482743375003338]","[0.006597770843654871, 0.9318519830703735, 0.465891569852829]","['a8e8', 'g1h2', 'c6e6']","[0.007004150189459324, 0.9676454067230225, 0.025350471958518028]",False,r4r1k/p1p3pp/2qbQn2/5P2/8/1P5P/PBP1NPP1/R4RK1 b - - 2 20
03iZt,r2q1rk1/ppp3pR/2np2Q1/8/8/2P2NB1/PP3KP1/1Bb5 b - - 0 18,d8f6 h7h8 g8h8 g6h7,1490,75,95,10619,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/Cv2BL99W/black#35,Horwitz_Defense Horwitz_Defense_Other_variations,"['h7h8', 'g8h8', 'g6h7']","[0.7107058167457581, 1.0, 0.896485447883606]","['h7h8', 'g8h8', 'g6h7']","[0.697901725769043, 0.19753623008728027, 0.10456205904483795]","[0.023258477449417114, 1.0, 0.2706541121006012]","['g6h5', 'g8h8', 'g6h7']","[0.0023963255807757378, 0.9939591884613037, 0.0036444386932998896]",False,r4rk1/ppp3pR/2np1qQ1/8/8/2P2NB1/PPP2KP1/1Bb5 w - - 1 19
03sFl,r1b2rk1/1p3ppp/p3p3/3p4/3Q4/3B4/PPq2PPP/1R3RK1 b - - 1 16,c2d2 d3h7 g8h7 d4d2,914,87,93,1599,advantage discoveredAttack middlegame short,https://lichess.org/r4IFexvd/black#31,Sicilian_Defense Sicilian_Defense_Taimanov_Variation,"['d3h7', 'g8h7', 'd4d2']","[0.90777587890625, 0.6630409955978394, 0.9219058752059937]","['d3h7', 'g8h7', 'd4d2']","[0.9841364622116089, 0.01482495479285717, 0.0010386148933321238]","[0.015095717273652554, 0.9026233553886414, 0.850480854511261]","['f1d1', 'g8h7', 'd4d2']","[0.0066517433151602745, 0.9798184633255005, 0.013529768213629723]",False,r4rk1/1p3ppp/p3p2b/3p4/3Q4/3B4/PP1q1PPP/1R3RK1 w - - 2 17
03wxG,5rk1/p4ppp/2p5/1p3b2/5P2/2P3P1/P2r1q1P/RNQ1R2K w - - 8 25,c1d2 f5e4 e1e4 f2f1,1794,75,96,3176,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/UYvGFiIs#48,,"['f5e4', 'e1e4', 'f2f1']","[0.8513269424438477, 1.0, 0.8765062093734741]","['f5e4', 'e1e4', 'f2f1']","[0.29488030076026917, 0.23672617971897125, 0.4683934450149536]","[0.044926632195711136, 1.0, 0.6620458364486694]","['f2f3', 'e1e4', 'f2f1']","[0.009977903217077255, 0.9622113108634949, 0.027810826897621155]",False,5rk1/p4ppp/2p5/1p3b2/5P2/2P3P1/P2QRq1P/1N2R2K b - - 0 25
