PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,principal_variation,sparring_full_pv_probs,sparring_full_model_moves,sparring_wdl,branch_1,branch_2,branch_1_probs,branch_2_probs,full_model_moves,full_pv_probs,corrupted_fen
DhiUK,8/4q1kp/p2r2p1/1p6/4p1n1/1B2Q3/PPP3PP/2K1R3 w - - 2 30,e3e4 d6d1 c1d1 g4f2,1712,75,61,243,advantage attraction endgame sacrifice short,https://lichess.org/oOQnHZjJ#58,,"['d6d1', 'c1d1', 'g4f2']","[0.0019660836551338434, 0.9952812790870667, 0.016711024567484856]","['e7e4', 'c1d1', 'e7d6']","[0.035559382289648056, 0.7690417766571045, 0.19539885222911835]","['e7e4', 'e1e4', 'g4h2']","['d6d1', 'c1d1', 'g4f2']","[0.47762417793273926, 0.9517678618431091, 0.8234795331954956]","[0.3154844045639038, 0.7164387106895447, 0.9270655512809753]","['e7e4', 'e1e4', 'g4h2']","[0.3154844045639038, 0.7164387106895447, 0.9270655512809753]",8/4q1kp/p1nr2p1/1p6/4Q3/1B6/PPP3PP/2K1R3 b - - 0 30
DofbK,8/5p1k/p4Pnp/1P4p1/P4b2/8/2P5/1K2R3 b - - 0 40,f4d2 b5a6 d2e1 a6a7,2158,77,93,4194,advancedPawn crushing endgame sacrifice short,https://lichess.org/DSWWGhlG/black#79,,"['b5a6', 'd2e1', 'a6a7']","[0.009901066310703754, 0.6303796768188477, 0.332395076751709]","['e1e2', 'd2e1', 'a6a7']","[0.00497024692595005, 0.9893697500228882, 0.0056599886156618595]","['b5a6', 'd2e1', 'a6a7']","['e1e7', 'a6b5', 'e7f7']","[0.4101238548755646, 0.8047596216201782, 0.9779903888702393]","[0.3169877231121063, 0.8151742219924927, 0.8674129247665405]","['b5a6', 'd2e1', 'a6a7']","[0.4101238548755646, 0.8047596216201782, 0.9779903888702393]",2n5/5p1k/p4P1p/1P4p1/P7/8/2Pb4/1K2R3 w - - 1 41
Hvqj4,r2qk2r/pQpn1p2/4p1p1/3pP2p/4n1bP/1B6/PPP2PP1/RNB1R1K1 b kq - 0 16,d8h4 b7a8 e8e7 a8a7,2651,101,92,674,crushing hangingPiece middlegame short,https://lichess.org/Hcc3ZH1x/black#31,Pirc_Defense Pirc_Defense_Other_variations,"['b7a8', 'e8e7', 'a8a7']","[0.09439904987812042, 0.9177267551422119, 0.6687068939208984]","['e1e4', 'e8e7', 'a8a7']","[0.0047768461517989635, 0.9844352602958679, 0.010787866078317165]","['e1e4', 'a8b8', 'b7c7']","['b7a8', 'e8e7', 'a8a7']","[0.47316256165504456, 0.8909724354743958, 0.7153646945953369]","[0.4700026214122772, 0.9409409165382385, 0.816142201423645]","['e1e4', 'a8b8', 'b7c7']","[0.4700026214122772, 0.9409409165382385, 0.816142201423645]",r3k2r/pQp2p2/4p1p1/3pP2p/4n1bq/1B6/PPP2PP1/RNB1RnK1 w kq - 0 17
IpzPZ,r3k1r1/P1Qp1p1p/p1b1pp2/4n2q/4P3/1NN5/PP3PP1/R4KR1 b q - 0 18,e5f3 c7b8 e8e7 b8b4,2118,76,76,102,crushing middlegame short,https://lichess.org/Tb3DV4xT/black#35,Sicilian_Defense Sicilian_Defense_Kan_Variation,"['c7b8', 'e8e7', 'b8b4']","[0.15317997336387634, 0.9778020977973938, 0.6780598163604736]","['c7b8', 'e8e7', 'b8b4']","[0.005460407119244337, 0.9797321557998657, 0.014807417057454586]","['c7b8', 'e8e7', 'b8b4']","['g2f3', 'c6b5', 'c3e2']","[0.5050723552703857, 0.966442883014679, 0.8590155243873596]","[0.33623459935188293, 0.7107772827148438, 0.7283514738082886]","['c7b8', 'e8e7', 'b8b4']","[0.5050723552703857, 0.966442883014679, 0.8590155243873596]",r3k1r1/P1Qp1p1p/p1b1pp2/8/4P3/1NN2n2/PP3PPq/R4KR1 w q - 1 19
JKxFK,8/6k1/7p/R1p2r2/1p2K3/1P1P3P/8/8 b - - 1 44,g7g6 a5a6 g6g5 h3h4,1186,77,88,532,crushing endgame rookEndgame short,https://lichess.org/L5nfIwQp/black#87,,"['a5a6', 'g6g5', 'h3h4']","[0.12546584010124207, 0.6773272752761841, 0.20856662094593048]","['a5b5', 'g6g5', 'h3h4']","[0.019513795152306557, 0.9696580767631531, 0.010828093625605106]","['a5a6', 'g6g5', 'h3h4']","['d3d4', 'f5h5', 'd4c5']","[0.5332709550857544, 0.7611835598945618, 0.7634559869766235]","[0.35954198241233826, 0.9141342639923096, 0.8266773819923401]","['a5a6', 'g6g5', 'h3h4']","[0.5332709550857544, 0.7611835598945618, 0.7634559869766235]",8/8/6kp/R1p5/1p2K3/1P1P3P/2r5/8 w - - 2 45
KAqBP,2r2r1k/1p1qb2p/p1n1R1p1/3pP3/3P2Q1/4P2P/PP2N1P1/R5K1 b - - 2 21,c6d8 e6e7 d7e7 g4c8,1220,77,60,113,advantage deflection discoveredAttack middlegame short skewer,https://lichess.org/HTrrahyp/black#41,,"['e6e7', 'd7e7', 'g4c8']","[0.11804300546646118, 0.6150171756744385, 0.8538318872451782]","['e6e7', 'd7e7', 'g4c8']","[0.04755060747265816, 0.6161946654319763, 0.33625471591949463]","['e6g6', 'd7g4', 'g6g4']","['e6e7', 'd7e7', 'g4c8']","[0.4295273721218109, 0.7221692800521851, 0.9348732233047485]","[0.36519768834114075, 0.7708955407142639, 0.9052539467811584]","['e6g6', 'd7g4', 'g6g4']","[0.36519768834114075, 0.7708955407142639, 0.9052539467811584]",2rn1r1k/1p1qb2p/p3R1p1/3pP3/3P2Q1/3KP2P/PP2N1P1/R7 w - - 3 22
MMxqC,r4k2/p2b1P1Q/4p3/npp1P1q1/3p4/1B1P3P/PPP3K1/2R2R2 w - - 1 26,g2f2 g5e3 f2g2 d7c6,1820,75,88,211,crushing middlegame short,https://lichess.org/QTsb7GZK#50,,"['g5e3', 'f2g2', 'd7c6']","[0.08095093816518784, 1.0, 0.12891770899295807]","['f8e7', 'f2g2', 'e3g5']","[0.0011343660298734903, 0.9963966012001038, 0.0024690371938049793]","['g5e3', 'f2g2', 'd7c6']","['g5f4', 'f2e2', 'f4e5']","[0.5444674491882324, 1.0, 0.7560239434242249]","[0.30479076504707336, 0.819608747959137, 0.831165611743927]","['g5e3', 'f2g2', 'd7c6']","[0.5444674491882324, 1.0, 0.7560239434242249]",r4k2/p4P1Q/4p3/npp1P1q1/b2p4/1B1P3P/PPP2K2/2R2R2 b - - 2 26
OG6mG,6k1/5pp1/2Q4p/p1n1p3/P3n3/3NN3/2Pq1PPP/5K2 b - - 3 28,c5d3 c6a8 g8h7 a8e4,2019,75,91,2920,crushing endgame fork short,https://lichess.org/U4tgbink/black#55,,"['c6a8', 'g8h7', 'a8e4']","[0.031091555953025818, 1.0, 0.9625551104545593]","['c6c8', 'g8h7', 'a8e4']","[0.0003914457047358155, 0.9986660480499268, 0.0009425703319720924]","['c6c8', 'g8h7', 'c8f5']","['c6a8', 'g8h7', 'a8e4']","[0.48634281754493713, 1.0, 0.9290200471878052]","[0.44601061940193176, 1.0, 0.9113404154777527]","['c6c8', 'g8h7', 'c8f5']","[0.44601061940193176, 1.0, 0.9113404154777527]",6k1/3n1pp1/2Q4p/p3p3/P7/3nN3/2Pq1PPP/5K2 w - - 0 29
OHz0l,r1bQ4/1p3ppk/2p2n2/p4Pqp/4p3/P1N4P/1P4PK/4RR2 w - - 1 25,c3e4 f6g4 h3g4 g5d8,2190,77,92,4512,crushing discoveredAttack master middlegame short,https://lichess.org/rDRwRGer#48,,"['f6g4', 'h3g4', 'g5d8']","[0.08338063955307007, 0.5969682931900024, 0.7857432961463928]","['g5h4', 'h3g4', 'g5d8']","[0.025050051510334015, 0.6955949664115906, 0.2793550193309784]","['f6g4', 'h3g4', 'g5d8']","['f6e4', 'd8g5', 'e4g5']","[0.496305912733078, 0.7851802110671997, 0.9463493227958679]","[0.45594727993011475, 0.8881924152374268, 0.939464271068573]","['f6g4', 'h3g4', 'g5d8']","[0.496305912733078, 0.7851802110671997, 0.9463493227958679]",r1b5/1p3ppk/2p2n2/p4Pqp/4NQ2/P6P/1P4PK/4RR2 b - - 0 25
OTXjy,r4r2/pppk1pQ1/5R2/4q1B1/1n1b4/2N4P/PP4PK/7R w - - 0 27,g5f4 e5f6 g7g4 f6e6,2081,79,90,2137,advantage middlegame short,https://lichess.org/ybT2jumh#52,,"['e5f6', 'g7g4', 'f6e6']","[0.02609802968800068, 0.608194887638092, 0.1293722540140152]","['f8g8', 'g7g4', 'd7e8']","[0.015601595863699913, 0.9259262084960938, 0.05847218632698059]","['e5f6', 'g7g4', 'f6e6']","['e5f4', 'f6f4', 'd4g7']","[0.5915229916572571, 0.7581354379653931, 0.9526195526123047]","[0.3281731903553009, 0.98421311378479, 0.915635347366333]","['e5f6', 'g7g4', 'f6e6']","[0.5915229916572571, 0.7581354379653931, 0.9526195526123047]",r4r2/pppk1pQ1/5R2/4q3/1n1b1B2/2NR3P/PP4PK/8 b - - 1 27
PKrMW,r4r1k/p1p2pp1/3b3q/3p4/6b1/3BPN2/P1QN1PPP/R4RK1 w - - 3 19,c2c6 d6h2 f3h2 h6c6,1859,104,85,21,advantage discoveredAttack middlegame short,https://lichess.org/OvE4JSiA#36,Queens_Pawn_Game Queens_Pawn_Game_Mason_Variation,"['d6h2', 'f3h2', 'h6c6']","[0.09498266130685806, 0.786605715751648, 0.345505952835083]","['d6h2', 'f3h2', 'h6c6']","[0.004912740550935268, 0.9718325734138489, 0.023254740983247757]","['g4f3', 'g2g3', 'f3g4']","['d6h2', 'f3h2', 'h6c6']","[0.49178194999694824, 0.7554928660392761, 0.806786835193634]","[0.4540117084980011, 0.9911575317382812, 0.9197737574577332]","['g4f3', 'g2g3', 'f3g4']","[0.4540117084980011, 0.9911575317382812, 0.9197737574577332]",r4r1k/p1p2pp1/2Qb3q/2Rp4/6b1/3BPN2/P2N1PPP/5RK1 b - - 4 19
Q1rVf,1kr5/p1pQR2R/1p1n4/8/8/2P4P/1q3PP1/6K1 w - - 0 30,d7d6 b2a1 g1h2 c7d6,2134,76,90,1041,advantage endgame intermezzo short,https://lichess.org/Kw3b4EjF#58,,"['b2a1', 'g1h2', 'c7d6']","[0.04031398519873619, 0.9738928079605103, 0.12494153529405594]","['c7d6', 'g1h2', 'a1c3']","[0.0058187758550047874, 0.9549106359481812, 0.03927060216665268]","['b2a1', 'g1h2', 'c7d6']","['b2b1', 'g1h2', 'b1h7']","[0.5441545844078064, 0.9546276330947876, 0.9328570365905762]","[0.3425973355770111, 0.9851648807525635, 0.8768752813339233]","['b2a1', 'g1h2', 'c7d6']","[0.5441545844078064, 0.9546276330947876, 0.9328570365905762]",1k6/p1p1Rr1R/1p1Q4/8/8/2P4P/1q3PP1/6K1 b - - 0 30
QDLvK,1r3rk1/5ppp/8/1qppPp2/p2P4/1P4R1/P2Q2PP/R6K b - - 1 23,a4b3 d2h6 g7g6 g3h3,2186,78,87,248,crushing endgame master pin short,https://lichess.org/juOvtagb/black#45,,"['d2h6', 'g7g6', 'g3h3']","[0.13527102768421173, 0.852733850479126, 0.3156801462173462]","['g3b3', 'g7g6', 'g3h3']","[0.0030407493468374014, 0.9904208183288574, 0.006538379937410355]","['g3g7', 'g8g7', 'd2g5']","['d2h6', 'g7g6', 'g3h3']","[0.47047558426856995, 0.86530601978302, 0.9315834641456604]","[0.332432359457016, 0.8045300841331482, 0.7352442741394043]","['g3g7', 'g8g7', 'd2g5']","[0.332432359457016, 0.8045300841331482, 0.7352442741394043]",1r4k1/5ppp/8/1qppPp2/3Pr3/1p4R1/P2Q2PP/R6K w - - 0 24
R3kqA,8/p3q2p/2p3k1/2P1r1p1/4N3/7r/PQ4K1/1R2R3 b - - 4 35,e5e4 e1e4 e7e4 g2h3,2110,77,87,686,advantage endgame short,https://lichess.org/E9oQXPqX/black#69,,"['e1e4', 'e7e4', 'g2h3']","[0.09639563411474228, 0.9279646277427673, 0.7155495882034302]","['g2h3', 'e7e4', 'g2h3']","[0.0058823577128350735, 0.9803069233894348, 0.013810706324875355]","['b2c2', 'h3h4', 'b1b4']","['e1e4', 'e7e4', 'g2h3']","[0.39287811517715454, 0.9123521447181702, 0.7070100903511047]","[0.3440788984298706, 0.8274182677268982, 0.98745197057724]","['b2c2', 'h3h4', 'b1b4']","[0.3440788984298706, 0.8274182677268982, 0.98745197057724]",5q2/p6p/2p3k1/2P3p1/4r3/7r/PQ4K1/1R2R3 w - - 0 36
RK2tO,r5k1/5ppp/1pN5/1P6/2P5/3rB3/p4PPP/R5K1 w - - 2 27,c6b4 d3d1 a1d1 a2a1q,929,75,95,1534,advancedPawn advantage endgame promotion short,https://lichess.org/zEPawwaH#52,,"['d3d1', 'a1d1', 'a2a1q']","[0.017941642552614212, 1.0, 0.31267836689949036]","['d3b3', 'a1d1', 'a2a1q']","[0.0032137837260961533, 0.9909991025924683, 0.005787081550806761]","['d3d1', 'a1d1', 'a2a1q']","['d3b3', 'b4a2', 'a8a2']","[0.44722557067871094, 1.0, 0.9282237887382507]","[0.42940694093704224, 0.9300541877746582, 0.7592727541923523]","['d3d1', 'a1d1', 'a2a1q']","[0.44722557067871094, 1.0, 0.9282237887382507]",6k1/5ppp/1p6/1P5r/1NP5/3rB3/p4PPP/R5K1 b - - 3 27
RlZcx,5r1k/7N/3pp1r1/p4p2/1p2bP1R/1P6/P1P5/2K1R3 b - - 0 34,f8g8 h7f8 h8g7 f8g6,2103,78,83,213,advantage discoveredAttack endgame short,https://lichess.org/zEG8u7i6/black#67,,"['h7f8', 'h8g7', 'f8g6']","[0.12437082827091217, 0.970488429069519, 0.8406198024749756]","['h7g5', 'h8g7', 'f8g6']","[0.004037439823150635, 0.9904623627662659, 0.005500196944922209]","['h7f6', 'h8g7', 'f6g8']","['h7f8', 'h8g7', 'f8g6']","[0.5050615072250366, 0.9919376969337463, 0.8337356448173523]","[0.31024789810180664, 0.8027468323707581, 0.9338874816894531]","['h7f6', 'h8g7', 'f6g8']","[0.31024789810180664, 0.8027468323707581, 0.9338874816894531]",6rk/7N/3pp1rp/p4p2/1p2bP1R/1P6/P1P5/2K1R3 w - - 1 35
SFvTF,r1q3k1/1Q2bpp1/P6p/4p3/2P1Pn2/4BNP1/5PKP/R7 w - - 5 29,g2f1 c8b7 a6b7 a8a1,2300,76,91,485,advantage middlegame short,https://lichess.org/zlhmn6Zn#56,,"['c8b7', 'a6b7', 'a8a1']","[0.006280872505158186, 0.8435127139091492, 0.12198866158723831]","['c8c4', 'a6b7', 'a8a1']","[0.010561653412878513, 0.9445526599884033, 0.044885750859975815]","['c8b7', 'a6b7', 'a8a1']","['c8h3', 'f1e1', 'e7b4']","[0.5455363988876343, 0.8931075930595398, 0.9243866205215454]","[0.366759330034256, 0.9947355389595032, 0.7201533317565918]","['c8b7', 'a6b7', 'a8a1']","[0.5455363988876343, 0.8931075930595398, 0.9243866205215454]",r1q3k1/1Q2bpp1/P6p/4p3/n1P1P3/4BNP1/5P1P/R4K2 b - - 6 29
SYsZk,7k/1b1p1p2/p4q1p/1p1pNPr1/1P1P1Q2/P1r4P/5P1K/3R1R2 w - - 3 31,f4h4 g5g2 h2g2 f6h4,1112,78,89,814,crushing discoveredAttack middlegame short,https://lichess.org/hz9wWkUo#60,,"['g5g2', 'h2g2', 'f6h4']","[0.024190645664930344, 0.8939443230628967, 0.6777297854423523]","['h8g7', 'h2g2', 'f6h4']","[0.005275818519294262, 0.9873517751693726, 0.00737243564799428]","['g5g2', 'h2g2', 'f6h4']","['g5f5', 'h4f6', 'f5f6']","[0.39677807688713074, 0.8405460119247437, 0.9388594627380371]","[0.3339295983314514, 0.8894286155700684, 0.9900434017181396]","['g5g2', 'h2g2', 'f6h4']","[0.39677807688713074, 0.8405460119247437, 0.9388594627380371]",7k/1b1p1p2/p4q1p/1p1pNPr1/1P1P3Q/P1r4P/1K3P2/3R1R2 b - - 4 31
SknMr,r4rk1/pp4pp/3bR3/3p4/3n4/3BBN2/Pq1Q1KPP/R7 b - - 1 18,b2a1 d3h7 g8h7 e3d4,2381,83,89,590,advantage kingsideAttack middlegame short,https://lichess.org/rBulDXGE/black#35,French_Defense French_Defense_Tarrasch_Variation,"['d3h7', 'g8h7', 'e3d4']","[0.026291651651263237, 0.5892304182052612, 0.34700143337249756]","['e6d6', 'g8h7', 'e3d4']","[0.0034251422621309757, 0.989930272102356, 0.006644603796303272]","['d3h7', 'g8h7', 'e3d4']","['e6d6', 'd4f3', 'g2f3']","[0.5730398893356323, 0.9552467465400696, 0.930753767490387]","[0.35337764024734497, 0.7990843057632446, 0.8714746832847595]","['d3h7', 'g8h7', 'e3d4']","[0.5730398893356323, 0.9552467465400696, 0.930753767490387]",r5k1/pp4pp/3bR3/3p4/r2n4/3BBN2/P2Q1KPP/q7 w - - 0 19
Xfepi,1kr5/1p2pp2/p2p3p/2nP2p1/2R1P1P1/1Pp2P2/6BP/5RK1 w - - 3 30,b3b4 c5b3 c4c8 b8c8,2127,93,74,22,advantage endgame quietMove short,https://lichess.org/xuGULRJj#58,,"['c5b3', 'c4c8', 'b8c8']","[0.03839344531297684, 0.97516930103302, 0.7499618530273438]","['c5a4', 'c4c8', 'b8c8']","[0.010932784527540207, 0.9586986303329468, 0.030368607491254807]","['c5d3', 'c4d4', 'd3f4']","['c5b3', 'c4c8', 'b8c8']","[0.5627853274345398, 0.7403101325035095, 0.8605507016181946]","[0.38291046023368835, 0.9585764408111572, 0.9844543933868408]","['c5d3', 'c4d4', 'd3f4']","[0.38291046023368835, 0.9585764408111572, 0.9844543933868408]",1kr5/1p2pp2/p2p2Pp/2nP2p1/1PR1P1P1/2p2P2/6BP/5RK1 b - - 0 30
atfdw,r4r2/pp2R1k1/3p1np1/3P3p/1nP5/1P4P1/PB5P/R5K1 b - - 2 24,f8f7 e7f7 g7f7 a1f1,1935,75,95,6719,advantage middlegame short,https://lichess.org/Oj6wPxTS/black#47,,"['e7f7', 'g7f7', 'a1f1']","[0.0529925599694252, 0.5893811583518982, 0.8803547620773315]","['a1f1', 'g7f7', 'a1f1']","[0.0022280735429376364, 0.9946063160896301, 0.0031655775383114815]","['b2f6', 'g7f6', 'e7e6']","['e7f7', 'g7f7', 'a1f1']","[0.32239899039268494, 0.7883933186531067, 0.7212573885917664]","[0.30003005266189575, 0.9578473567962646, 0.9505410194396973]","['b2f6', 'g7f6', 'e7e6']","[0.30003005266189575, 0.9578473567962646, 0.9505410194396973]",r7/pp2Rrk1/3p1npn/3P3p/2P5/1P4P1/PB5P/R5K1 w - - 3 25
